TEAM,PF,PA,OVER,OFF,PASS,PBLK,RECV,RUN,RBLK,DEF,RDEF
Arizona Cardinals,225,425,63.8,57.4,46.3,55.7,61.7,62.2,59.8,67.9,63.7
Atlanta Falcons,414,423,89.9,82.4,80,78.2,81.2,69.7,73.8,71.9,70
Baltimore Ravens,406,310,85.3,71.2,65.2,76.8,69.1,72,66,84.8,86.3
Buffalo Bills,269,374,68.3,58.3,48.1,71.6,57.3,75.7,50.5,81.7,73.3
Carolina Panthers,376,382,80.6,72.5,67.6,76.6,73.9,77.8,54.6,75.9,80.5
Chicago Bears,436,299,93.1,72.3,60.1,84.4,74.7,64.4,65,93,92.9
Cincinnati Bengals,368,455,78.8,69.9,70.4,67,70.6,77.8,56.7,74.8,77.8
Cleveland Browns,359,392,80,77.2,74.1,85.8,72.3,81.2,63.7,69,62.2
Dallas Cowboys,385,376,86.2,75.1,72.9,75.3,75.1,74.9,61.8,80.5,74.3
Denver Broncos,329,349,86.4,73.8,67.3,62.7,69.9,84.7,74,82.5,90
Detroit Lions,324,360,83.5,75.6,75.5,80.6,72.6,69.5,63.5,74.9,89.2
Green Bay Packers,376,400,84.7,79.1,81,88.4,72.7,82.8,59.4,74.1,74.5
Houston Texans,409,337,92.2,76.1,77.5,71.1,82.7,76.9,47.3,89.9,91.4
Indianapolis Colts,467,382,92,83.6,89,79,75.2,77.9,77.2,75.8,83
Jacksonville Jaguars,245,316,76.7,62.9,60.9,65,60.4,61.8,63.9,83.6,83
Kansas City Chiefs,627,471,93.7,89.1,92.2,82.9,85.1,86.7,70.7,77.5,62.6
Los Angeles Chargers,479,387,91.5,82.4,84,62.2,83.9,90.8,62,78.2,70.2
Los Angeles Rams,586,442,95.5,90.2,83.3,81.9,89.2,79.2,81,89,81.2
Miami Dolphins,319,433,70.7,65,45.8,63.2,74.1,73.8,56.1,67.4,76.1
Minnesota Vikings,360,341,89.1,76.4,79.2,63.6,80.9,74.5,55,84,87
New England Patriots,527,387,94.4,84.1,88.2,82.1,78.2,75.4,75.8,90.1,84.6
New Orleans Saints,547,393,93.9,86.4,92.9,77.6,84.9,83.6,61.1,84.2,90.6
New York Giants,369,412,80.9,73.7,62.8,66.2,79.8,80.4,62.3,70.5,73.3
New York Jets,333,441,81.4,65,58.2,70.9,69.1,66.8,54.7,82.2,89.7
Oakland Raiders,290,467,70.7,70.3,71.7,62.2,72.9,68,61.4,60.4,70.1
Philadelphia Eagles,397,383,92.4,79.3,79.2,79.1,76.7,63.5,75.4,87.3,85.8
Pittsburgh Steelers,428,360,89.1,79.9,74.9,87.3,76.5,76.1,64.9,81.1,86.6
San Francisco 49ers,342,435,73.7,74.7,66.3,74.8,75.8,59,76.9,59.1,72.2
Seattle Seahawks,450,371,88.6,79.4,86.3,72.9,81.3,81.8,61.4,76.9,81.4
Tampa Bay Buccaneers,396,464,78.3,78.6,76.2,70.7,86.3,68.6,52.7,60.9,56.9
Tennessee Titans,310,303,87.2,74.3,61.2,79,71.8,81.6,69.4,83.3,79.6
Washington Redskins,281,359,74.6,64.1,57.9,71.1,63.9,75.4,56.8,77.7,72.3